ID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
39,White,812.0,France,Male,44.0,4,115049.15,2,Yes,No,165038.41,No,2,DIAMOND,223,0
40,Douglas,479.0,France,Male,34.0,5,117593.48,2,No,No,,No,4,PLATINUM,513,0
41,Crawford,607.0,Spain,,25.0,4,121166.89,1,No,Yes,115288.24,No,1,DIAMOND,551,0
42,Liao,604.0,Germany,Female,42.0,10,166031.45,1,Yes,No,98293.14,No,1,DIAMOND,820,0
43,Calabresi,670.0,Spain,Male,35.0,2,124268.64,2,No,Yes,84321.03,No,4,DIAMOND,301,0
44,Hsing,605.0,France,Male,41.0,10,0.0,2,No,Yes,97213.09,No,5,DIAMOND,411,0
45,H?,784.0,Spain,Male,48.0,7,0.0,2,Yes,Yes,182609.97,No,1,DIAMOND,354,0
46,Stiger,582.0,Germany,Male,32.0,1,88938.62,1,Yes,Yes,10054.53,No,4,GOLD,838,0
47,Chinomso,574.0,France,Female,34.0,5,112324.45,2,Yes,Yes,17993.43,No,4,GOLD,674,0
48,Shand,519.0,France,Male,39.0,1,97700.02,1,Yes,Yes,30709.03,No,3,SILVER,960,0
49,Ochoa,556.0,France,Female,30.0,7,0.0,2,Yes,Yes,186648.19,No,3,GOLD,356,0
50,Mao,684.0,Spain,Male,24.0,8,143582.89,1,Yes,,22527.27,No,4,GOLD,559,0
51,Corones,512.0,Germany,Male,42.0,9,93955.83,2,Yes,No,14828.54,No,5,PLATINUM,580,0
52,Leach,578.0,France,Male,45.0,1,148600.91,1,Yes,No,143397.14,Yes,4,SILVER,478,1
53,Dean,691.0,Germany,Male,27.0,3,160358.68,2,Yes,No,142367.72,No,3,GOLD,527,0
54,Scott,740.0,France,Female,30.0,8,105209.54,1,Yes,No,1852.58,No,4,SILVER,814,0
55,Wei,668.0,Spain,Male,32.0,1,134446.04,1,No,,111241.37,No,4,PLATINUM,503,0
56,Pinto,665.0,France,Male,52.0,3,0.0,1,Yes,No,116137.01,Yes,1,GOLD,307,1
57,Onwuamaeze,621.0,France,Male,47.0,0,0.0,1,Yes,Yes,,Yes,2,DIAMOND,704,1
58,Gray,793.0,France,Male,39.0,3,137817.52,1,No,No,83997.79,No,5,PLATINUM,252,0
59,Browne,744.0,France,Male,31.0,9,120718.28,1,Yes,Yes,58961.49,No,3,GOLD,332,0
60,Dore,493.0,Spain,Male,32.0,8,46161.18,1,Yes,Yes,79577.4,No,2,GOLD,606,0
61,Yang,686.0,Spain,Male,38.0,7,111484.88,1,Yes,Yes,,No,4,DIAMOND,784,0
62,Chin,469.0,France,Male,33.0,1,127818.52,1,Yes,No,163477.22,No,1,PLATINUM,933,0
63,Nelson,672.0,France,Male,31.0,6,91125.75,1,Yes,No,177295.92,No,4,DIAMOND,597,0
64,Sung,692.0,Germany,Female,41.0,8,130701.29,1,Yes,No,59354.24,Yes,2,SILVER,235,1
65,Biryukova,823.0,France,Male,34.0,3,105057.33,1,Yes,No,9217.92,No,2,PLATINUM,329,0
66,Kalinin,723.0,France,Male,30.0,3,124119.54,1,Yes,No,162198.32,No,4,PLATINUM,945,0
67,Martin,502.0,Germany,Female,42.0,0,132002.7,1,No,Yes,28204.98,Yes,3,SILVER,403,1
68,Cantamessa,527.0,Germany,Female,39.0,9,96748.89,2,Yes,No,94711.43,No,2,SILVER,534,0
69,Onyinyechukwuka,625.0,France,Male,49.0,6,173434.9,1,Yes,No,165580.93,Yes,3,SILVER,835,1
70,Henderson,752.0,Spain,Female,36.0,3,0.0,2,Yes,Yes,48505.1,No,5,GOLD,784,0
71,Johnstone,516.0,France,Male,35.0,10,57369.61,1,Yes,Yes,101699.77,No,5,PLATINUM,771,0
72,Brady,850.0,Spain,Male,38.0,2,94652.04,1,Yes,Yes,171960.76,No,3,PLATINUM,475,0
73,Sarratt,558.0,France,Female,56.0,7,121235.05,2,Yes,Yes,116253.1,No,4,GOLD,801,0
74,Glover,640.0,Germany,Male,26.0,5,90402.77,1,Yes,Yes,3298.65,No,5,DIAMOND,412,0
75,Rossi,557.0,France,Female,32.0,6,184686.41,2,Yes,No,14956.44,No,3,GOLD,299,0
76,Scott,,Germany,Female,49.0,6,124829.16,1,No,Yes,93551.36,No,3,DIAMOND,411,0
77,Rooke,594.0,Germany,Male,40.0,0,152092.44,2,Yes,Yes,83508.93,No,5,DIAMOND,373,0
78,Chiemenam,757.0,Spain,Female,55.0,9,117294.12,4,Yes,No,94187.47,Yes,2,DIAMOND,918,1
79,Lane,757.0,France,Male,28.0,7,120911.75,2,Yes,Yes,131249.46,No,1,SILVER,411,0
80,Hamilton,497.0,France,Male,32.0,8,0.0,2,Yes,No,67364.42,No,3,GOLD,418,0
81,Udokamma,532.0,France,Male,43.0,9,0.0,2,No,No,190573.91,Yes,3,PLATINUM,559,1
82,Maclean,561.0,France,Male,21.0,4,0.0,1,Yes,Yes,36942.35,No,3,DIAMOND,699,0
83,Wood,715.0,France,,45.0,4,0.0,2,Yes,Yes,55043.93,No,4,PLATINUM,320,0
84,Higgins,709.0,France,Female,,3,104118.5,1,No,Yes,174032.0,No,2,SILVER,569,0
85,Alexandrova,809.0,Germany,Male,33.0,8,148055.74,1,No,No,199203.21,No,1,PLATINUM,981,0
86,Bruno,430.0,Germany,Male,36.0,1,138992.48,2,No,No,122373.42,No,3,SILVER,770,0
87,Howe,774.0,Spain,Female,43.0,1,110646.54,1,No,No,108804.28,No,4,GOLD,597,0
88,Dale,592.0,France,Male,37.0,3,96651.03,1,Yes,Yes,3232.82,No,2,GOLD,710,0
89,Gill,687.0,France,Female,44.0,9,0.0,2,No,No,103042.2,Yes,4,DIAMOND,309,1
90,Cameron,747.0,France,Female,40.0,3,0.0,1,No,No,57817.84,Yes,2,DIAMOND,929,1
91,Muir,706.0,Germany,,67.0,1,123276.69,2,Yes,Yes,86507.88,Yes,1,DIAMOND,906,1
92,Algarin,705.0,France,Female,35.0,5,0.0,1,Yes,No,133991.11,Yes,3,PLATINUM,564,1
93,Bradley,764.0,Germany,Male,34.0,6,108760.27,2,Yes,No,166324.79,Yes,3,GOLD,665,1
94,Yang,558.0,Germany,Male,25.0,10,111363.1,2,Yes,No,197264.35,No,4,PLATINUM,837,0
95,Akeroyd,661.0,France,Female,41.0,1,0.0,2,No,Yes,131300.68,No,1,PLATINUM,671,0
96,Onochie,774.0,France,Male,36.0,7,103688.19,1,No,Yes,118971.74,No,1,SILVER,275,0
97,Amadi,585.0,France,Female,32.0,8,144705.87,2,No,No,,No,1,PLATINUM,767,0
98,Onio,,France,Female,30.0,6,131286.46,1,Yes,No,194144.45,No,2,DIAMOND,325,0
99,Kao,648.0,France,Male,34.0,0,0.0,1,Yes,Yes,167931.81,No,1,PLATINUM,445,0
100,Niu,,Spain,Male,25.0,7,0.0,2,Yes,No,18461.9,No,4,PLATINUM,767,0
101,Ball,559.0,France,Female,34.0,5,68999.66,2,Yes,Yes,66879.27,No,2,PLATINUM,840,0
102,Bevan,641.0,Spain,Male,31.0,3,153316.14,1,Yes,No,59927.99,No,4,DIAMOND,667,0
103,Hao,592.0,Germany,Female,70.0,5,71816.74,2,Yes,No,105096.82,Yes,1,DIAMOND,255,1
104,Balmain,607.0,France,Female,27.0,2,0.0,2,Yes,No,63495.86,No,3,DIAMOND,377,0
105,Chao,689.0,Spain,Female,63.0,1,0.0,2,Yes,Yes,186526.12,No,1,GOLD,371,0
106,Shen,644.0,France,Male,,8,93183.19,1,Yes,No,73882.49,No,3,GOLD,617,0
107,Okonkwo,525.0,France,Female,59.0,6,55328.4,1,Yes,No,83342.73,Yes,4,SILVER,829,1
108,Chukwumaobim,628.0,France,Female,29.0,9,71996.29,1,Yes,Yes,34857.46,No,4,DIAMOND,221,0
109,Iadanza,635.0,France,Male,34.0,3,134692.4,2,Yes,,83773.02,No,4,PLATINUM,246,0
110,Liao,620.0,Spain,Male,42.0,9,121490.05,1,Yes,Yes,29296.74,No,4,PLATINUM,828,0
111,Parry,554.0,France,Female,44.0,9,135814.7,2,No,No,115091.38,No,4,SILVER,494,0
112,Lucas,782.0,France,Female,70.0,7,97072.42,1,No,Yes,131177.22,No,3,GOLD,714,0
113,Sanderson,554.0,France,Male,44.0,7,85304.27,1,Yes,Yes,,No,4,GOLD,895,0
114,Smith,749.0,Spain,Female,43.0,1,124209.02,1,Yes,Yes,167179.48,No,4,PLATINUM,608,0
115,Liang,716.0,Spain,Female,29.0,8,0.0,2,No,No,78616.92,No,1,DIAMOND,785,0
116,Enemuo,629.0,Germany,Female,37.0,1,35549.81,2,No,No,49676.33,No,3,PLATINUM,649,0
117,Siciliani,691.0,France,Female,33.0,6,0.0,2,Yes,Yes,100408.31,No,2,DIAMOND,467,0
118,Pirogov,725.0,France,,41.0,7,113980.21,1,Yes,Yes,116704.25,No,4,DIAMOND,240,0
119,Su,811.0,France,Male,40.0,1,101514.89,1,Yes,,121765.0,No,3,SILVER,749,0
120,Watson,793.0,France,Male,63.0,4,103729.79,2,Yes,Yes,80272.06,No,3,DIAMOND,650,0
121,Chiu,577.0,France,Female,32.0,1,0.0,2,Yes,No,9902.39,No,2,SILVER,899,0
122,Romeo,653.0,Germany,Male,58.0,1,132602.88,1,Yes,No,5097.67,No,2,SILVER,163,1
123,Fang,711.0,Spain,Male,37.0,2,0.0,2,Yes,No,83978.86,Yes,4,GOLD,407,1
124,Lockett,794.0,Spain,Female,28.0,5,0.0,2,No,Yes,86699.98,No,3,DIAMOND,734,0
125,Zaytseva,624.0,Spain,Female,38.0,8,0.0,2,Yes,No,95403.41,No,5,PLATINUM,735,0
126,Bennelong,635.0,Spain,Female,29.0,8,138296.94,2,Yes,No,141075.51,No,1,PLATINUM,608,0
127,Schneider,,France,Female,26.0,8,149989.39,1,Yes,No,42330.58,No,2,DIAMOND,489,0
128,Ts'ui,771.0,Spain,Female,67.0,8,0.0,2,Yes,,51219.8,No,1,GOLD,352,0
129,Ting,680.0,Germany,Female,31.0,3,127331.46,3,Yes,Yes,176433.6,No,4,SILVER,807,0
130,Curnow,801.0,France,Male,38.0,5,0.0,2,Yes,No,66256.27,No,3,PLATINUM,940,0
131,Chibuzo,678.0,Germany,Male,48.0,2,101099.9,2,No,Yes,193476.04,No,1,PLATINUM,788,0
132,Pisano,718.0,France,Female,25.0,7,0.0,2,Yes,,30380.12,No,2,PLATINUM,237,0
133,Pollard,624.0,Germany,Female,27.0,7,104848.68,1,Yes,Yes,167387.36,No,5,SILVER,734,0
134,Simmons,616.0,France,Male,34.0,10,0.0,2,Yes,No,25662.27,No,4,SILVER,279,0
135,Scott,648.0,Spain,Male,35.0,7,0.0,2,Yes,Yes,78436.36,No,2,SILVER,853,0
136,Tsai,687.0,Germany,Female,34.0,7,111388.18,2,Yes,No,148564.76,No,4,GOLD,570,0
137,Hunt,597.0,France,Male,19.0,2,0.0,2,Yes,Yes,91036.74,No,3,GOLD,270,0
138,Brown,710.0,Spain,Female,29.0,3,119670.18,1,Yes,No,188022.44,No,4,DIAMOND,913,0
139,Samson,655.0,France,Female,59.0,7,0.0,1,Yes,No,88958.49,Yes,4,DIAMOND,716,1
140,Hutchinson,575.0,Spain,Female,26.0,7,0.0,2,Yes,,112507.63,No,2,PLATINUM,346,0
141,Hou,835.0,Germany,Male,18.0,2,142872.36,1,Yes,Yes,117632.63,No,3,GOLD,650,0
142,Amechi,698.0,Spain,Female,38.0,1,171848.38,1,No,No,16957.45,No,5,PLATINUM,806,0
143,Bergamaschi,531.0,Germany,Female,42.0,6,88324.31,2,Yes,No,75248.75,No,1,DIAMOND,319,0
144,Rossi,706.0,Germany,Female,46.0,4,105214.58,1,Yes,No,108699.59,Yes,3,PLATINUM,635,1
145,Boan,700.0,Spain,Male,44.0,9,0.0,2,Yes,No,142287.65,No,4,DIAMOND,533,0
146,McDonald,569.0,France,Male,43.0,7,0.0,2,Yes,No,52534.81,No,1,PLATINUM,367,0
147,Mai,531.0,France,Female,37.0,1,0.0,1,Yes,No,4606.97,No,1,GOLD,427,0
148,Conti,549.0,France,Male,37.0,2,112541.54,2,No,No,47432.43,No,4,SILVER,233,0
149,Finch,721.0,France,Male,36.0,1,155176.83,2,Yes,Yes,49653.37,No,5,SILVER,667,0
150,Henderson,768.0,France,Male,54.0,8,69712.74,1,Yes,Yes,69381.05,No,3,SILVER,569,0
151,Dike,410.0,France,,35.0,7,117183.74,1,Yes,Yes,109733.73,No,2,SILVER,677,0
152,McGregor,667.0,France,Male,43.0,8,190227.46,1,Yes,No,97508.04,Yes,3,DIAMOND,680,1
153,Ibeamaka,504.0,Spain,Male,40.0,5,0.0,2,No,No,146703.36,No,2,SILVER,538,0
154,Lung,735.0,Spain,Male,,7,86131.71,2,No,No,93478.96,No,5,PLATINUM,692,0
155,O'Donnell,744.0,Spain,Male,30.0,1,128065.12,1,Yes,,121525.48,No,2,PLATINUM,607,0
156,Blackburn,645.0,Spain,Male,49.0,2,0.0,2,No,No,10023.15,No,3,SILVER,553,0
157,De Salis,850.0,France,Female,27.0,7,43658.33,2,Yes,Yes,3025.49,No,4,PLATINUM,585,0
158,Ferguson,606.0,Germany,Female,47.0,0,137138.2,2,No,Yes,53784.22,No,4,SILVER,765,0
159,McDowell,484.0,France,,41.0,5,0.0,1,Yes,Yes,74267.35,No,5,SILVER,634,0
160,Sokolova,743.0,Spain,Male,45.0,7,157332.26,1,Yes,No,125424.42,No,2,SILVER,775,0
161,Harker,745.0,France,Male,,5,157993.15,2,Yes,No,146041.45,No,1,SILVER,395,0
162,Ponomaryov,530.0,Germany,Female,42.0,0,99948.45,1,No,Yes,97338.62,No,4,DIAMOND,478,0
163,Doyle,708.0,Spain,Male,19.0,7,112615.86,1,Yes,Yes,4491.77,No,5,PLATINUM,881,0
164,Kenenna,850.0,France,Male,36.0,3,0.0,2,Yes,No,195033.07,No,4,PLATINUM,731,0
165,Kay,561.0,Spain,Male,24.0,8,143656.55,1,No,Yes,180932.46,No,1,DIAMOND,689,0
166,Chiang,753.0,France,Female,36.0,7,128518.98,1,Yes,Yes,44567.83,Yes,4,PLATINUM,358,1
167,Eberegbulam,,France,Female,42.0,3,156555.54,1,Yes,Yes,175674.01,No,3,DIAMOND,977,0
168,Singleton,567.0,Spain,Male,34.0,10,0.0,2,No,Yes,161571.79,No,5,DIAMOND,391,0
169,Pugh,793.0,Spain,Male,29.0,8,96674.55,2,No,No,192120.66,No,4,DIAMOND,558,0
170,Davis,822.0,France,Male,37.0,3,105563.0,1,Yes,No,182624.93,No,5,DIAMOND,463,0
171,Voronina,712.0,Spain,Female,30.0,6,0.0,2,Yes,No,152417.97,No,4,PLATINUM,472,0
172,T'ang,710.0,Spain,Male,62.0,3,131078.42,2,Yes,No,119348.76,Yes,2,PLATINUM,517,1
173,Streeton,670.0,Spain,Female,20.0,4,0.0,2,Yes,No,119759.24,No,2,PLATINUM,920,0
174,Fernando,,Spain,Female,27.0,5,87099.85,2,Yes,No,149550.95,No,2,SILVER,957,0
175,Chiemezie,668.0,France,Male,,2,0.0,2,Yes,Yes,,No,5,DIAMOND,658,0
176,Stewart,811.0,France,Female,47.0,3,123365.34,2,No,,171995.34,No,4,GOLD,601,0
177,Fedorov,750.0,France,,26.0,1,151510.17,2,Yes,,19921.72,No,5,PLATINUM,433,0
178,Hsieh,578.0,Germany,Female,36.0,8,129745.1,1,Yes,Yes,143683.75,No,2,DIAMOND,594,0
179,He,766.0,Germany,Male,30.0,4,127786.28,2,Yes,Yes,28879.3,No,1,SILVER,491,0
180,Angelo,,Spain,Male,45.0,4,0.0,2,No,No,36697.48,Yes,1,DIAMOND,796,1
181,Butler,651.0,Spain,Male,47.0,2,0.0,2,Yes,Yes,119808.64,No,5,PLATINUM,758,0
182,Nucci,489.0,Germany,Female,46.0,8,92060.06,1,Yes,No,,Yes,2,DIAMOND,865,1
183,Woods,448.0,Spain,Male,25.0,2,0.0,2,No,No,95215.73,No,2,PLATINUM,843,0
184,Davison,648.0,Germany,Female,51.0,2,116574.84,1,Yes,No,4121.04,Yes,1,PLATINUM,244,1
185,Hughes,464.0,Germany,Female,42.0,3,85679.25,1,Yes,Yes,164104.74,No,3,SILVER,665,0
186,Maynard,712.0,France,Male,32.0,9,100606.02,1,Yes,No,165693.06,No,1,DIAMOND,542,0
187,Sherrod,675.0,France,Male,34.0,8,0.0,2,Yes,,184842.21,No,2,GOLD,977,0
188,Lu,541.0,France,Male,32.0,8,0.0,2,No,No,40889.14,No,5,PLATINUM,725,0
189,Gardener,676.0,France,Female,,5,0.0,2,Yes,Yes,75465.41,No,5,DIAMOND,862,0
190,Hardy,765.0,Germany,Male,43.0,4,148962.76,1,No,Yes,173878.87,Yes,3,GOLD,873,1
191,Eberechukwu,719.0,Spain,Male,35.0,3,122964.88,1,Yes,Yes,138231.7,No,4,DIAMOND,411,0
192,Lo Duca,720.0,France,Female,45.0,1,102882.4,2,Yes,Yes,35633.15,Yes,3,DIAMOND,219,1
193,George,541.0,France,Male,36.0,5,0.0,2,Yes,No,124795.84,No,2,PLATINUM,920,0
194,Macleod,588.0,Germany,Male,41.0,2,131341.46,2,No,Yes,7034.94,No,2,PLATINUM,306,0
195,Ingram,624.0,France,Male,,6,0.0,2,No,No,84635.64,No,5,DIAMOND,813,0
196,Tretiakova,651.0,France,Male,23.0,10,0.0,2,Yes,Yes,170099.23,No,5,SILVER,431,0
197,Marchesi,694.0,Germany,,31.0,4,141989.27,2,Yes,No,26116.82,No,4,PLATINUM,753,0
198,Macleod,678.0,Spain,Male,29.0,6,0.0,2,Yes,No,64443.75,No,3,GOLD,775,0
199,White,667.0,Spain,Male,35.0,4,97585.32,2,No,No,57213.46,No,4,GOLD,369,0
200,Venables,548.0,Spain,Male,44.0,8,0.0,1,Yes,No,16989.77,No,1,SILVER,693,0
201,Horsley,753.0,France,Female,31.0,6,106596.29,1,No,No,91305.77,No,5,GOLD,503,0
202,Kerr,563.0,France,Male,22.0,3,137583.04,1,No,Yes,5791.85,No,2,SILVER,628,0
203,Hung,691.0,Spain,Male,35.0,6,0.0,2,No,Yes,178038.17,No,4,GOLD,686,0
204,Chibugo,733.0,Germany,Male,39.0,5,91538.51,1,Yes,Yes,93783.0,No,3,PLATINUM,336,0
205,Capon,,France,Female,23.0,2,94464.81,2,No,Yes,185900.88,No,5,PLATINUM,351,0
206,Nnaife,620.0,France,Male,28.0,9,71902.52,1,No,Yes,190208.23,No,5,SILVER,334,0
207,Lajoie,693.0,Spain,Female,57.0,9,0.0,2,Yes,Yes,135502.77,No,4,SILVER,401,0
208,Kennedy,671.0,Spain,,38.0,0,92674.94,2,Yes,No,3647.57,No,4,SILVER,759,0
209,Ahern,745.0,France,Female,28.0,6,0.0,2,Yes,No,154389.18,No,4,SILVER,649,0
210,Ch'ang,641.0,France,Female,26.0,4,91547.84,2,No,Yes,28157.34,No,2,PLATINUM,712,0
211,Butcher,827.0,France,,,5,0.0,2,No,No,103305.01,No,2,SILVER,785,0
212,Obiora,650.0,France,Female,47.0,9,0.0,1,Yes,No,187943.6,No,4,DIAMOND,600,0
213,Levy,555.0,Germany,Female,51.0,9,138214.5,1,Yes,No,198715.27,Yes,2,SILVER,266,1
214,Swayne,613.0,Spain,Male,29.0,0,0.0,2,No,Yes,133897.32,No,5,SILVER,291,0
215,Zikoranachidimma,,France,Female,71.0,4,170252.05,3,Yes,Yes,73679.59,Yes,2,GOLD,858,1
216,Bentley,583.0,Spain,Female,40.0,3,54428.37,1,Yes,No,109638.78,Yes,4,PLATINUM,646,1
217,Degtyaryov,671.0,Germany,Male,28.0,8,119859.52,2,Yes,No,125422.66,No,4,DIAMOND,555,0
218,Graham,512.0,France,Female,36.0,3,84327.77,2,Yes,No,17675.36,No,5,PLATINUM,727,0
219,Ts'ao,651.0,France,Male,,10,79562.98,1,Yes,Yes,,No,3,SILVER,251,0
220,Johnstone,715.0,Spain,Female,35.0,4,40169.88,2,Yes,Yes,199857.47,No,5,GOLD,484,0
221,Stanley,561.0,France,Male,28.0,7,0.0,2,Yes,No,7797.01,No,5,PLATINUM,933,0
222,McWilliam,534.0,Spain,Female,33.0,3,151233.62,1,No,No,199336.63,No,5,PLATINUM,472,0
223,Donaldson,690.0,Spain,Female,48.0,2,0.0,2,Yes,Yes,3149.1,No,3,GOLD,712,0
224,Pokrovskii,652.0,France,Female,80.0,4,0.0,2,Yes,Yes,188603.07,No,1,GOLD,662,0
225,Mahomed,694.0,France,Male,60.0,9,0.0,1,Yes,Yes,57088.97,No,4,GOLD,647,0
226,Vidal,660.0,Spain,Female,36.0,0,84438.57,1,Yes,Yes,181449.51,No,4,DIAMOND,699,0
227,Jamieson,693.0,France,Male,37.0,1,0.0,2,Yes,Yes,82867.55,No,1,DIAMOND,502,0
228,Poole,763.0,Spain,Male,67.0,9,148564.66,1,No,Yes,87236.4,No,1,PLATINUM,595,0
229,Farrar,591.0,France,Male,33.0,9,131765.72,1,Yes,No,118782.06,No,5,GOLD,597,0
230,Windradyne,528.0,Spain,Male,40.0,4,0.0,2,Yes,No,25399.7,No,3,GOLD,345,0
231,Thomas,640.0,France,Male,43.0,7,132412.38,1,No,No,69584.3,Yes,5,SILVER,320,1
232,Hawkins,752.0,Germany,Female,42.0,3,65046.08,2,No,Yes,,No,5,PLATINUM,535,0
233,Onuora,711.0,France,Female,38.0,2,129022.06,2,Yes,Yes,14374.86,Yes,4,DIAMOND,321,1
234,Boyle,,Germany,Female,,4,111568.01,1,No,Yes,22026.18,No,4,DIAMOND,666,0
235,Pirogova,558.0,France,Male,32.0,10,105000.23,1,Yes,No,190019.61,No,1,SILVER,644,0
236,Toscani,476.0,Germany,Male,30.0,3,134366.42,1,Yes,No,68343.53,No,4,GOLD,709,0
237,Alexeieva,477.0,France,Male,27.0,1,128554.98,1,Yes,Yes,133173.19,No,1,PLATINUM,248,0
238,Tai,664.0,France,Male,40.0,9,0.0,2,Yes,No,194767.3,No,5,SILVER,354,0
239,Huang,598.0,Germany,Female,27.0,10,171283.91,1,Yes,Yes,84136.12,No,5,GOLD,508,0
240,Bates,784.0,Spain,Male,33.0,10,0.0,2,Yes,No,162022.47,No,3,PLATINUM,562,0
241,Scott,664.0,France,Female,41.0,5,0.0,1,Yes,Yes,152054.33,No,5,PLATINUM,550,0
242,Kramer,754.0,Germany,Female,39.0,8,129401.87,1,Yes,Yes,,No,2,GOLD,591,0
243,Daniels,628.0,Germany,Female,28.0,3,153538.13,2,Yes,No,110776.01,No,4,GOLD,579,0
244,Perry,539.0,Germany,Female,,4,91622.42,1,Yes,Yes,136603.42,No,5,PLATINUM,714,0
245,Pinto,582.0,France,Female,32.0,4,0.0,2,Yes,No,59668.81,No,4,SILVER,727,0
246,Welch,850.0,Germany,Male,,3,54901.01,1,Yes,Yes,140075.55,No,2,GOLD,926,0
247,Hsiung,639.0,France,Female,38.0,5,0.0,2,No,No,93716.38,No,2,PLATINUM,539,0
248,Chu,714.0,France,,,7,0.0,2,Yes,No,166335.0,No,5,GOLD,626,0
249,Charlton,608.0,Germany,Female,40.0,7,96202.32,1,No,No,161154.85,No,5,SILVER,822,0
250,Tung,639.0,France,Male,38.0,3,0.0,1,Yes,,42862.82,No,1,SILVER,600,0
251,Ekechukwu,736.0,Germany,Male,57.0,9,95295.39,1,Yes,No,28434.44,Yes,1,SILVER,888,1
